Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
189.0414587,6.614309535,25.6879574,1.847575135,26.5901068,1
189.0513967,2.911425152,21.04536874,1.000865564,21.26935998,1
189.0613337,-0.232710266,16.67234141,-0.04398396213,16.67402341,1
189.0712707,-2.70745439,11.77056907,1.103120502,12.1282101,1
189.081208,-4.407300499,5.411036169,5.122888305,8.657227887,1
189.091145,-5.812334087,-1.343716469,8.818882914,10.64713564,1
189.101082,-6.777256233,-6.656725822,10.90838075,14.46499123,1
189.11102,-6.835852935,-8.869608679,9.960100365,14.98674223,1
189.120957,-5.938933908,-9.490433292,7.062875175,13.23720007,1
189.130894,-4.982131791,-9.718892779,3.942789209,11.61137807,1
189.140831,-4.192178511,-10.18530354,0.4202931833,11.02231442,1
189.150768,-3.474098914,-10.69758629,-1.713316047,11.37730933,1
189.160705,-2.553683143,-11.14281083,-1.842624298,11.57923983,1
189.170643,-1.60670201,-11.59782946,-2.250702063,11.92295262,1
189.18058,-1.081297524,-11.78699156,-3.339903268,12.29867181,1
189.190517,-0.9524278146,-11.02715992,-4.937578347,12.11961446,1
189.200454,-0.8854836273,-10.43597484,-5.208907279,11.69728033,1
189.210391,-0.8458704223,-10.13428892,-3.810340419,10.85992646,1
189.220329,-0.5767494714,-9.296992781,-2.690945946,9.695767365,1
189.230266,0.2053545061,-8.381198941,-2.034724628,8.627095136,1
189.240203,1.293332766,-8.190574449,-1.930312067,8.513772614,1
189.25014,2.544190189,-8.58209056,-2.142549623,9.204113265,1
189.260077,3.72292893,-8.925035021,-2.538812504,9.998100763,1
189.270014,4.709569096,-8.716593477,-2.946559317,10.33640434,1
189.279952,5.606476429,-8.161023206,-3.331839373,10.4468192,1
189.289889,6.485571973,-7.634551018,-3.419852248,10.58510286,1
189.299826,7.185767861,-7.504750432,-2.958986989,10.80333943,1
189.309763,7.059761533,-7.993629701,-1.760432911,10.80913839,1
189.3197,6.006236529,-8.255266289,0.3578121758,10.21529874,1
189.329638,4.928516332,-8.607142371,2.282991557,10.17768262,1
189.339575,3.757080178,-8.93764688,4.725137308,10.78536535,1
189.349512,2.302443782,-9.100162638,6.833630408,11.61088765,1
189.359449,0.5992957503,-9.272294142,8.189324899,12.38546068,1
189.369386,-0.8672084472,-9.433899488,9.376541226,13.32929238,1
189.379323,-2.139278691,-9.590260466,9.726831543,13.82609348,1
189.389261,-4.144906112,-9.413351787,9.497143557,13.99954193,1
189.399198,-6.859114913,-9.807172287,8.658470399,14.77149943,1
189.409135,-7.412661463,-11.12378983,5.187100089,14.33848868,1
189.419072,-6.45819297,-11.59508711,1.509306693,13.35785568,1
189.429009,-5.779045889,-9.670294815,-3.124679539,11.69083382,1
189.438946,-6.874828135,-0.2639170021,-11.29446304,13.22489355,1
189.448884,-10.97532552,22.91485223,-2.067802327,25.49164626,1
189.458821,-18.9483584,66.62802132,11.44210758,70.20865571,1
189.468758,-11.92164241,61.57241575,10.75789447,63.63191206,1
189.478695,-2.682624189,19.12275395,-4.639813567,19.85960879,1
189.488632,-0.05166570514,3.226552069,-21.22163891,21.46558328,1
189.49857,4.03153854,11.09318434,-18.30093481,21.77696619,1
189.508507,6.482308642,18.80926835,-11.12983118,22.79653577,1
189.518444,7.305673789,22.99525612,-5.894245977,24.83740746,1
189.528381,5.658415491,22.98352193,-2.694481757,23.82268201,1
189.538318,2.294978934,17.88560942,-2.239730786,18.17081029,1
189.548255,-0.8641002135,12.74171441,-1.428250251,12.85059742,1
189.558193,-3.240090712,9.111830172,-0.09080608964,9.671188275,1
189.56813,-4.610580997,5.246533527,1.894173936,7.236813255,1
189.578067,-4.365984365,0.8365517879,4.417448634,6.267016101,1
189.588004,-3.314626632,-2.850784848,5.770157536,7.239367511,1
189.597941,-2.742178665,-5.189613807,4.875149964,7.630119427,1
189.607879,-2.396672831,-6.795367398,4.13138998,8.305988316,1
189.617816,-1.843166042,-7.93425298,3.354461081,8.809202038,1
189.627753,-0.8861028475,-8.651518645,2.582973016,9.072249044,1
189.63769,0.3789329034,-9.316511371,0.8934627378,9.366923184,1
189.647627,2.048986571,-10.31735355,-1.544157853,10.63158284,1
189.657564,3.555328726,-11.07890661,-3.04714429,12.02778543,1
189.667502,3.889250348,-11.20395984,-2.596546158,12.14071811,1
189.677439,3.259561063,-11.05681583,-1.407570988,11.61288813,1
189.687376,2.088255302,-11.5012124,-0.3448646861,11.69434173,1
189.697313,0.3518661422,-11.86127926,0.3580454797,11.87189758,1
189.70725,-1.137022366,-11.14959126,1.055369727,11.25699828,1
189.717188,-1.378316491,-9.337190049,1.227839273,9.517902271,1
189.727125,-1.007349249,-8.421475732,0.2682182139,8.485749645,1
189.737062,-0.8378869265,-8.327689317,-0.9803604754,8.426954997,1
189.746999,-0.4524046299,-8.38281979,-1.329606553,8.499658297,1
189.756936,0.2764556251,-8.429391108,-1.652384552,8.594267675,1
189.766873,1.103425727,-8.410167217,-1.723234241,8.655518309,1
189.776811,1.823415756,-8.48369303,-1.574169856,8.819064757,1
189.786748,2.398870069,-8.75204573,-1.387012178,9.180233377,1
189.796685,2.823818659,-9.441094487,-1.252200528,9.933590644,1
189.806622,3.173406726,-10.00654129,-1.082507313,10.55335022,1
189.816559,3.335890909,-10.0561783,-0.8609943187,10.62996714,1
189.826496,3.201966866,-10.16022249,-0.828149339,10.68496814,1
189.836434,2.62874502,-10.23356645,-0.8813858986,10.60250083,1
189.846371,1.798456331,-10.08116112,-0.4980377992,10.2524288,1
189.856308,0.8703182888,-9.739824057,0.5330859733,9.793151037,1
189.866245,0.2020958528,-9.658316209,1.544154929,9.783063384,1
189.876182,-0.2461382505,-9.545608789,1.70522584,9.699846718,1
189.88612,-0.3969082676,-9.03196013,1.427902926,9.152745311,1
189.896057,-0.7587826502,-8.275353813,1.828857028,8.508933533,1
189.905994,-1.603204498,-6.281845624,2.376044147,6.904884857,1
189.915931,-2.726595835,-2.318187118,2.878338683,4.59272794,1
189.925868,-2.842053494,6.6157269,2.112123052,7.503744016,1
189.935805,-7.524145061,29.70522376,4.527571585,30.97599041,1
189.945743,-14.72867547,54.54677565,7.400902712,56.98296215,1
189.95568,-20.46979222,42.56155529,11.58893467,48.62922773,1
189.965617,-21.07427972,17.09911564,6.933193288,28.01025153,1
189.975554,-13.16389273,14.19980651,-4.169383433,19.80672449,1
189.985491,-5.543838716,18.04416603,-18.00431491,26.086039,1
189.995429,-0.6935943818,18.78769563,-19.11600977,26.81194528,1
190.005366,0.02789384991,19.22662974,-9.537107522,21.46207094,1
190.015303,-0.3797841118,18.40253486,-4.361277941,18.91608497,1
190.02524,-1.237580442,16.02270756,-1.123960564,16.10968809,1
190.035177,-2.159614868,13.91748539,0.4273875735,14.0905286,1
190.045115,-1.984691027,10.65713291,2.149520089,11.05142149,1
190.055052,-0.5459494092,6.147045668,3.733974028,7.212960089,1
190.064989,1.267837152,2.237842866,3.803362936,4.59139645,1
190.074926,2.131957246,-0.5978778005,2.96697604,3.702113773,1
190.0848632,2.191860947,-2.758415798,2.855276679,4.534943995,1
190.0948002,1.952952048,-4.339594712,3.554798384,5.939923864,1
190.1047382,2.224853715,-5.000707226,1.86507936,5.782349681,1
190.1146752,2.863764498,-5.963872867,-0.7678241998,6.660216263,1
190.1246122,3.235586894,-7.191749563,-1.047903491,7.955399804,1
190.1345492,3.269026244,-8.358124074,-0.40869757,8.983974862,1
190.1444862,2.925371346,-9.206450985,-0.2060255472,9.662245276,1
190.1544232,2.46907364,-9.805915135,0.2129041386,10.11422881,1
190.1643612,1.681195245,-10.55889501,1.226300286,10.76199301,1
190.1742982,0.5380701033,-11.73232126,2.109143311,11.93253398,1
190.1842352,-1.025354507,-13.0681551,2.783722547,13.40063957,1
190.1941722,-2.593676052,-13.87315297,2.366997335,14.3106326,1
190.2041092,-3.184126719,-13.45380587,0.2525037488,13.82777327,1
190.2140472,-2.833471828,-11.54749195,-2.091252,12.07255018,1
190.2239842,-2.012523481,-9.172887967,-3.836333047,10.1444357,1
190.2339212,-1.206934454,-8.135419418,-4.538301226,9.393504026,1
