"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.077028708E0,5.545782330E0,-6.980765650E0,-8.972581655E-1,8.960572689E0
3.086965708E0,5.466545541E0,-6.745505852E0,-2.227268761E0,8.963576043E0
3.096902708E0,4.927282569E0,-6.480196043E0,-2.666770048E0,8.566371271E0
3.106838708E0,4.520225143E0,-6.641255259E0,-2.105874717E0,8.305023485E0
3.116775708E0,4.029420971E0,-6.840124326E0,-1.244481618E0,8.035687192E0
3.126712708E0,3.194713395E0,-6.981284298E0,-4.711499262E-1,7.691976753E0
3.136649708E0,2.353429163E0,-7.357791191E0,1.630063391E-1,7.726725769E0
3.146586708E0,1.598075028E0,-8.023020730E0,6.328909278E-2,8.180874705E0
3.156523708E0,7.485955580E-1,-8.884852370E0,-7.047539391E-2,8.916611673E0
3.166460708E0,3.552622050E-2,-9.916901135E0,1.025262487E-1,9.917494738E0
3.176397708E0,1.600938410E-2,-1.094540532E1,-7.328572655E-1,1.096992405E1
